,VH,VV,Class
438,-14.798979999999998,-9.7868185,Non Bawang Putih
439,-17.33389,-8.229399,Bawang Putih
440,-15.407799,-8.324132,Bawang Putih
441,-13.520946,-9.421004,Bawang Putih
442,-15.640697,-8.356613000000001,Non Bawang Putih
443,-18.87296,-10.396391,Bawang Putih
444,-13.725443,-9.828685,Bawang Putih
445,-18.234682,-13.184388,Non Bawang Putih
446,-11.610276,-10.15586,Bawang Putih
447,-12.9249735,-9.522755,Bawang Putih
448,-13.753076,-6.960414,Bawang Putih
449,-16.629307,-10.041305,Non Bawang Putih
450,-15.565591,-8.865332,Non Bawang Putih
451,-13.858605,-8.929725,Bawang Putih
452,-15.945445,-11.610134,Non Bawang Putih
453,-13.943591,-5.0594025,Non Bawang Putih
454,-7.3251834,-0.014241711,Non Bawang Putih
455,-14.604254,-11.061988,Non Bawang Putih
456,-13.751573,-7.472155,Bawang Putih
457,-12.102229,-9.011975,Bawang Putih
458,-13.919571,-6.727053,Bawang Putih
459,-15.067373000000002,-7.095312,Bawang Putih
460,-11.395743,-0.26846427,Non Bawang Putih
461,-16.962559,-9.56586,Non Bawang Putih
462,-13.364635,-4.750815,Non Bawang Putih
463,-15.766193,-9.262938,Bawang Putih
464,-17.071665,-8.418713,Non Bawang Putih
465,-16.715034,-9.330287,Bawang Putih
466,-14.223716,-9.921203,Bawang Putih
467,-15.486313,-7.9325323,Non Bawang Putih
468,-14.4762,-9.084678,Non Bawang Putih
469,-7.96395,-1.6371733,Non Bawang Putih
470,-12.6146145,-7.001796700000001,Bawang Putih
471,-15.227023999999998,-7.4981484,Bawang Putih
472,-13.947847,-9.025072,Non Bawang Putih
473,-11.9324665,-9.615688,Bawang Putih
474,-14.393476,-8.117702,Bawang Putih
475,-11.9464445,-10.879135,Bawang Putih
476,-12.648752,-3.5284872000000003,Non Bawang Putih
477,-16.87831,-9.089473,Bawang Putih
478,-14.57197,-3.40167,Non Bawang Putih
479,-15.602565,-6.0936637000000005,Bawang Putih
